DAILY_STRESS,AGE,GENDER,SLEEP_HOURS
2.0,36 to 50,Female,7
3.0,36 to 50,Female,8
3.0,51 or more,Female,5
1.0,51 or more,Female,7
2.0,51 or more,Female,8
2.0,51 or more,Male,7
4.0,21 to 35,Female,6
3.0,21 to 35,Female,10
4.0,51 or more,Female,6
4.0,36 to 50,Female,8
4.0,21 to 35,Male,7
2.0,21 to 35,Male,8
3.0,36 to 50,Female,6
3.0,21 to 35,Female,8
3.0,51 or more,Female,6
3.0,36 to 50,Female,9
1.0,36 to 50,Male,8
4.0,21 to 35,Male,4
5.0,21 to 35,Female,7
2.0,36 to 50,Male,7
4.0,36 to 50,Female,6
5.0,21 to 35,Male,7
4.0,21 to 35,Female,7
2.0,20 or less,Female,7
3.0,21 to 35,Male,7
1.0,36 to 50,Female,8
5.0,36 to 50,Female,6
3.0,51 or more,Female,8
2.0,21 to 35,Male,7
3.0,21 to 35,Male,6
5.0,36 to 50,Female,8
1.0,51 or more,Male,6
3.0,51 or more,Female,9
2.0,21 to 35,Female,7
5.0,36 to 50,Female,5
2.0,21 to 35,Female,8
2.0,51 or more,Female,7
3.0,21 to 35,Female,7
5.0,21 to 35,Female,8
2.0,36 to 50,Male,6
2.0,21 to 35,Female,6
4.0,20 or less,Female,6
2.0,36 to 50,Female,8
4.0,36 to 50,Male,7
3.0,51 or more,Female,7
5.0,21 to 35,Male,10
1.0,21 to 35,Male,6
5.0,36 to 50,Female,9
3.0,21 to 35,Female,6
1.0,21 to 35,Male,7
3.0,21 to 35,Male,8
5.0,21 to 35,Female,4
4.0,36 to 50,Female,4
3.0,51 or more,Male,6
1.0,51 or more,Female,8
5.0,21 to 35,Male,6
1.0,20 or less,Male,8
2.0,51 or more,Female,6
0.0,36 to 50,Female,8
4.0,21 to 35,Male,6
3.0,36 to 50,Male,6
5.0,36 to 50,Female,10
5.0,21 to 35,Female,6
3.0,36 to 50,Female,7
2.0,21 to 35,Male,9
4.0,21 to 35,Female,8
2.0,21 to 35,Male,6
2.0,36 to 50,Female,6
2.0,20 or less,Female,9
5.0,51 or more,Female,8
2.0,21 to 35,Female,10
3.0,21 to 35,Female,5
5.0,36 to 50,Female,7
3.0,21 to 35,Female,4
4.0,20 or less,Male,5
4.0,21 to 35,Male,9
0.0,36 to 50,Female,10
2.0,21 to 35,Female,9
1.0,20 or less,Female,6
4.0,21 to 35,Female,5
4.0,51 or more,Female,7
4.0,20 or less,Female,5
1.0,20 or less,Male,10
2.0,36 to 50,Male,9
0.0,20 or less,Male,10
4.0,36 to 50,Female,9
3.0,36 to 50,Male,7
1.0,36 to 50,Female,7
5.0,20 or less,Female,6
5.0,51 or more,Female,6
1.0,21 to 35,Male,8
3.0,21 to 35,Male,10
3.0,21 to 35,Female,9
4.0,51 or more,Male,5
1.0,21 to 35,Female,8
2.0,51 or more,Female,9
3.0,20 or less,Female,10
4.0,21 to 35,Male,8
4.0,36 to 50,Male,9
4.0,36 to 50,Male,5
4.0,20 or less,Female,7
4.0,36 to 50,Male,6
4.0,51 or more,Female,8
4.0,51 or more,Male,7
1.0,21 to 35,Female,7
4.0,21 to 35,Female,10
0.0,21 to 35,Male,9
1.0,51 or more,Female,9
